DrugBank ID,Name,CAS Number,Drug Groups,ori_SMILES,SMILES
DB02417,"2,4,6-Tribromophenol",118-79-6,experimental,OC1=C(Br)C=C(Br)C=C1Br,Oc1c(Br)cc(Br)cc1Br
DB02418,"(R,R)-2,3-Butanediol",24347-58-8,experimental,C[C@@H](O)[C@H](C)O,CC(O)C(C)O
DB02419,Ethyl Oxo(Piperidin-1-Yl)Acetate,53074-96-7,experimental,CCOC(=O)C(=O)N1CCCCC1,CCOC(=O)C(=O)N1CCCCC1
DB02420,"[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,",,experimental,NCC1=CC=C(NC(=O)C(O)=O)C=C1,NCc1ccc(NC(=O)C(=O)O)cc1
DB02422,Methyl-2-S-(Alpha-D-Mannopyranosyl)-2-Thio-Alpha-D-Mannopyranoside,,experimental,[H][C@]1(CO)O[C@]([H])(OC)[C@@]([H])(S[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]2([H])O)[C@@]([H])(O)[C@]1([H])O,COC1OC(CO)C(O)C(O)C1SC1OC(CO)C(O)C(O)C1O
DB02424,Geldanamycin,30562-34-6,experimental; investigational,CO[C@H]1C[C@H](C)CC2=C(OC)C(=O)C=C(NC(=O)\C(C)=C\C=C/[C@H](OC)[C@@H](OC(N)=O)\C(C)=C\[C@H](C)[C@H]1O)C2=O,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
DB02425,Hexadecyl Octanoate,29710-31-4,experimental,CCCCCCCCCCCCCCCOC(=O)CCCCCCC,CCCCCCCCCCCCCCCOC(=O)CCCCCCC
DB02427,"2,4-Diamino-6-[N-(2',5'-Dimethoxybenzyl)-N-Methylamino]Quinazoline",,experimental,COC1=CC(CN(C)C2=CC=C3N=C(N)N=C(N)C3=C2)=C(OC)C=C1,COc1ccc(OC)c(CN(C)c2ccc3nc(N)nc(N)c3c2)c1
DB02428,Quinaldic Acid,93-10-7,experimental,OC(=O)C1=NC2=C(C=CC=C2)C=C1,O=C(O)c1ccc2ccccc2n1
DB02429,4-(Aminosulfonyl)-N-[(4-Fluorophenyl)Methyl]-Benzamide,,experimental,NS(=O)(=O)C1=CC=C(C=C1)C(=O)NCC1=CC=C(F)C=C1,NS(=O)(=O)c1ccc(C(=O)NCc2ccc(F)cc2)cc1
DB02430,Trehalose-6-Phosphate,4484-88-2,experimental,OC[C@H]1O[C@H](O[C@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,O=P(O)(O)OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O
DB02431,Cytidine-5'-Triphosphate,65-47-4,experimental,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1
DB02432,RU90395,,experimental,COC(=O)C1=C(C=CC(C[C@H](NC(C)=O)C(=O)N[C@H]2CCCCN(CC3=CC=C(C=C3)C3=CC=CC=C3)C2=O)=C1)C(F)(C(O)=O)C(O)=O,COC(=O)c1cc(CC(NC(C)=O)C(=O)NC2CCCCN(Cc3ccc(-c4ccccc4)cc3)C2=O)ccc1C(F)(C(=O)O)C(=O)O
DB02433,"{[(2,2-Dihydroxy-Ethyl)-(2,3,4,5-Tetrahydroxy-6-Phosphonooxy-Hexyl)-Amino]-Methyl}-Phosphonic Acid",,experimental,[H][C@@](O)(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CN(CC(O)O)CP(O)(O)=O,O=P(O)(O)CN(CC(O)O)CC(O)C(O)C(O)C(O)COP(=O)(O)O
DB02434,4-(2-Thienyl)Butyric Acid,4653-11-6,experimental,OC(=O)CCCC1=CC=CS1,O=C(O)CCCc1cccs1
DB02435,Aminomethylcyclohexane,3218-02-8,experimental,[NH3+]CC1CCCCC1,[NH3+]CC1CCCCC1
DB02436,{4-[(2S)-2-({[(1S)-1-Carboxy-2-phenylethyl]carbamoyl}amino)-3-oxo-3-(pentylamino)propyl]phenoxy}malonic acid,,experimental,CCCCCNC(=O)[C@H](CC1=CC=C(OC(C(O)=O)C(O)=O)C=C1)NC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,CCCCCNC(=O)C(Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)NC(Cc1ccccc1)C(=O)O
DB02437,(5r)-5-Amino-6-Hydroxyhexylcarbamic Acid,,experimental,N[C@H](CO)CCCCNC(O)=O,NC(CO)CCCCNC(=O)O
DB02438,3-O-Methylfructose in Linear Form,,experimental,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(OC)C(=O)CO,COC(C(=O)CO)C(O)C(O)CO
DB02441,"2-Butyl-5,6-Dihydro-1h-Imidazo[4,5-D]Pyridazine-4,7-Dione",,experimental,CCCCC1=NC2=C(N1)C(=O)NNC2=O,CCCCc1nc2c(=O)[nH][nH]c(=O)c2[nH]1
DB02443,Methicillin Acyl-Serine,,experimental,[H][C@](N)(COC(=O)[C@@]([H])(N=C([O-])C1=C(OC)C=CC=C1OC)[C@]1([H])N[C@@]([H])(C(O)=O)C(C)(C)S1)C([O-])=O,COc1cccc(OC)c1C([O-])=NC(C(=O)OCC(N)C(=O)[O-])C1NC(C(=O)O)C(C)(C)S1
DB02445,2-Deoxy-2-Amino Glucitol-6-Phosphate,,experimental,[H][C@](N)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)COP(O)(O)=O,NC(CO)C(O)C(O)C(O)COP(=O)(O)O
DB02446,Glutamine hydroxamate,1955-67-5,experimental,N[C@@H](CCC(=O)NO)C(O)=O,NC(CCC(=O)NO)C(=O)O
DB02447,"3,8,9,10-tetrahydroxy-7-hydroxymethyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione",,experimental,[H]N1C(=O)N(O)C(=O)[C@]11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,O=C1NC2(OC(CO)C(O)C(O)C2O)C(=O)N1O
DB02448,N-Tridecanoic Acid,638-53-9,experimental,CCCCCCCCCCCCC(O)=O,CCCCCCCCCCCCC(=O)O
DB02449,3-(1h-Indol-3-Yl)-2-[4-(4-Phenyl-Piperidin-1-Yl)-Benzenesulfonylamino]-Propionic Acid,,experimental,[H][C@@](CC1=CNC2=CC=CC=C12)(NS(=O)(=O)C1=CC=C(C=C1)N1CCC(CC1)C1=CC=CC=C1)C(O)=O,O=C(O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(N2CCC(c3ccccc3)CC2)cc1
DB02450,"2-Benzo[1,3]Dioxol-5-Ylmethyl-3-Benzyl-Succinic Acid",,experimental,[H][C@@](CC1=CC=CC=C1)(C(O)=O)[C@]([H])(CC1=CC2=C(OCO2)C=C1)C(O)=O,O=C(O)C(Cc1ccccc1)C(Cc1ccc2c(c1)OCO2)C(=O)O
DB02451,B-nonylglucoside,69984-73-2,experimental,CCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CCCCCCCCCOC1OC(CO)C(O)C(O)C1O
DB02452,Thymidine 5'-triphosphate,365-08-2,experimental,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O,Cc1cn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O
DB02454,5-(6-Amino-9h-Purin-9-Yl)-4-Hydroxytetrahydrofuran-3-Yl Dihydrogen Phosphate,,experimental,[H][C@@]1(CO[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]1([H])O)OP(O)(O)=O,Nc1ncnc2c1ncn2C1OCC(OP(=O)(O)O)C1O
DB02455,Fluoresceinylthioureido,,experimental,[H]N(CC)C(=S)N([H])C1=CC=C(C(=C1)C(O)=O)C1=C2C=CC(=O)C=C2OC2=C1C=CC(O)=C2,CCNC(=S)Nc1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1
DB02456,Aracytidine 5'-monophosphate,7075-11-8,experimental,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1
DB02457,Undecyl-Phosphinic Acid Butyl Ester,,experimental,[H][P@@](=O)(CCCCCCCCCCC)OCCCC,CCCCCCCCCCC[PH](=O)OCCCC
DB02458,"S-(2,4-dinitrophenyl)glutathione",26289-39-4,experimental,[H][C@](N)(CCC(=O)N[C@@]([H])(CSC1=C(C=C(C=C1)N(=O)=O)N(=O)=O)C(=O)NCC(O)=O)C(O)=O,NC(CCC(=O)NC(CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)NCC(=O)O)C(=O)O
DB02459,4-guanidinobenzoic acid,16060-65-4,experimental,NC(=N)NC1=CC=C(C=C1)C(O)=O,N=C(N)Nc1ccc(C(=O)O)cc1
DB02461,S-Methyl Phosphocysteine,,experimental,N[C@@H](CSCP(O)(O)=O)C(O)=O,NC(CSCP(=O)(O)O)C(=O)O
DB02462,Thiocoumarin,,experimental,CN(C)CCCOC1=CC(=O)SC2=CC=CC=C12,CN(C)CCCOc1cc(=O)sc2ccccc12
DB02463,2-(2-Hydroxy-Phenyl)-1h-Indole-5-Carboxamidine,,experimental,NC(=[NH2+])C1=CC2=C(NC(=C2)C2=CC=CC=C2O)C=C1,NC(=[NH2+])c1ccc2[nH]c(-c3ccccc3O)cc2c1
DB02464,Benzylamine,100-46-9,experimental,NCC1=CC=CC=C1,NCc1ccccc1
DB02465,Methoxy arachidonyl fluorophosphonate,180509-15-3,experimental,[H]\C(CCCCC)=C(/[H])C\C([H])=C(\[H])C\C([H])=C(\[H])C\C([H])=C(\[H])CCCC[P@](F)(=O)OC,CCCCCC=CCC=CCC=CCC=CCCCCP(=O)(F)OC
DB02466,BMS-181156,110368-35-9,experimental,CC1(C)CCC(C)(C)C2=CC(=CC=C12)C(=O)\C=C\C1=CC=C(C=C1)C(O)=O,CC1(C)CCC(C)(C)c2cc(C(=O)C=Cc3ccc(C(=O)O)cc3)ccc21
DB02467,L-methionine (S)-S-oxide,,experimental,[H]C([H])([H])[S@](=O)C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],CS(=O)CCC([NH3+])C(=O)[O-]
DB02469,"4,6-dideoxy-4-amino-beta-D-glucopyranoside",,experimental,[H][C@]1(C)O[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])N,CC1OC(O)C(O)C(O)C1N
DB02470,D-Glycero-D-Mannopyranose-7-Phosphate,,experimental,[H][C@@](O)(COP(O)(O)=O)[C@@]1([H])O[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)[C@]1([H])O,O=P(O)(O)OCC(O)C1OC(O)C(O)C(O)C1O
DB02472,"7,8-dihydroinosine",,experimental,[H]N1CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C2=C1C(=O)N=CN2[H],O=c1nc[nH]c2c1NCN2C1OC(CO)C(O)C1O
DB02473,"6-[N-(1-Isopropyl-3,4-Dihydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine",,experimental,CC(C)C1=NCCC2=C1C=C(NC(=O)C1=CC=C3C=C(C=CC3=C1)C(N)=N)C=C2,CC(C)C1=NCCc2ccc(NC(=O)c3ccc4cc(C(=N)N)ccc4c3)cc21
DB02474,BMSC-0013,,experimental,[H]N(CCCCCC(=O)N([H])[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)C(=O)OC,COC(=O)NCCCCCC(=O)NC1OC(CO)C(O)C(O)C1O
DB02475,Deoxyamidinoproclavaminic acid,,experimental,NC(=N)NCCC[C@H](N1CCC1=O)C(O)=O,N=C(N)NCCCC(C(=O)O)N1CCC1=O
DB02477,N-({4-[4-(2-Methyl-1H-imidazol-1-yl)butyl]phenyl}acetyl)-L-seryl-N-(2-cyclohexylethyl)-L-lysinamide,164931-25-3,experimental,CC1=NC=CN1CCCCC1=CC=C(CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)NCCC2CCCCC2)C=C1,Cc1nccn1CCCCc1ccc(CC(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NCCC2CCCCC2)cc1
DB02479,(R)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide,,experimental,[H]N([H])S(=O)(=O)C1=CC=C(C=C1)C(=O)N([H])C[C@@H](C)CN1C=CC2=CC=CC=C12,CC(CNC(=O)c1ccc(S(N)(=O)=O)cc1)Cn1ccc2ccccc21
DB02480,(S)-4-bromo-3-hydroxy-3-methylbutyl diphosphate,,experimental,C[C@@](O)(CBr)CCOP(O)(=O)OP(O)(O)=O,CC(O)(CBr)CCOP(=O)(O)OP(=O)(O)O
DB02481,N-Benzylformamide,6343-54-0,experimental,O=CNCC1=CC=CC=C1,O=CNCc1ccccc1
DB02482,Phosphonothreonine,,experimental,C[C@H](OP(O)(O)=O)[C@@H](N)C(O)=O,CC(OP(=O)(O)O)C(N)C(=O)O
DB02483,Etheno-NAD,,experimental,[H]N([H])C(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN2C=CN=C32)[C@@H](O)[C@H]1O,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c4ncn4ccnc54)C(O)C3O)C(O)C2O)c1
DB02484,Cytidine 5'-diphosphoglycerol,,experimental,[H]N([H])C1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@@H](O)CO)[C@@H](O)[C@H]1O,Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OCC(O)CO)C(O)C2O)c(=O)n1
DB02485,Cytidine-5'-Monophosphate-5-N-Acetylneuraminic Acid,,experimental,[H][C@]1(O[C@](C[C@H](O)[C@H]1NC(C)=O)(OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O)C(O)=O)[C@H](O)[C@H](O)CO,CC(=O)NC1C(O)CC(OP(=O)(O)OCC2OC(n3ccc(N)nc3=O)C(O)C2O)(C(=O)O)OC1C(O)C(O)CO
DB02486,2-Hydroxyethyl Disulfide,1892-29-1,experimental,OCCSSCCO,OCCSSCCO
DB02488,1-(2-Ethanone)-2-Hydroxy-2-(1-Amino-2-Methyl-2-Ethanol)-4-(2-Dimethyl)Ethane-Imidazoline-5-One;Chromophore (Thr-Leu-Gly),,experimental,[H][C@](C)(O)[C@]([H])(N)[C@@]1(O)N=C(CC(C)C)C(=O)N1CC=O,CC(C)CC1=NC(O)(C(N)C(C)O)N(CC=O)C1=O
DB02489,9-Methylguanine,5502-78-3,experimental,CN1C=NC2=C1N=C(N)NC2=O,Cn1cnc2c(=O)[nH]c(N)nc21
DB02490,(Diaminomethyl-Methyl-Amino)-Acetic Acid,,experimental,CN(CC(O)=O)C(N)N,CN(CC(=O)O)C(N)N
DB02491,4-[4-(1-Amino-1-Methylethyl)Phenyl]-5-Chloro-N-[4-(2-Morpholin-4-Ylethyl)Phenyl]Pyrimidin-2-Amine,,experimental,CC(C)(N)C1=CC=C(C=C1)C1=NC(NC2=CC=C(CCN3CCOCC3)C=C2)=NC=C1Cl,CC(C)(N)c1ccc(-c2nc(Nc3ccc(CCN4CCOCC4)cc3)ncc2Cl)cc1
DB02492,Ghavamiol,,experimental,[H][C@@](O)(CN1C[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])CO)C([H])(CO)OS([O-])([O-])[O-],[O-]S([O-])([O-])OC(CO)C(O)CN1CC(O)C(O)C1CO
DB02493,Hydantocidin-5'-phosphate,,experimental,[H]N1C(=O)N([H])[C@@]2(O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C1=O,O=C1NC(=O)C2(N1)OC(COP(=O)(O)O)C(O)C2O
DB02494,(S)-3-phenyllactic acid,20312-36-1,experimental,O[C@@H](CC1=CC=CC=C1)C(O)=O,O=C(O)C(O)Cc1ccccc1
DB02495,9-(4-hydroxybutyl)-N2-phenylguanine,,experimental,OCCCCN1C=NC2=C1N=C(NC1=CC=CC=C1)NC2=O,O=c1[nH]c(Nc2ccccc2)nc2c1ncn2CCCCO
DB02496,1-Deoxy-D-xylulose 5-phosphate,190079-18-6,experimental,CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,CC(=O)C(O)C(O)COP(=O)(O)O
DB02497,L-Alpha-Glycerophosphorylserine,,experimental,[H][C@@](O)(CO)COP(O)(=O)OC[C@]([H])(N)C(O)=O,NC(COP(=O)(O)OCC(O)CO)C(=O)O
DB02498,Carba-nicotinamide-adenine-dinucleotide,,experimental,[H]N([H])C(=O)C1=C[N+](=CC=C1)[C@@H]1C[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N=CN=C23)N([H])[H])[C@@H](O)[C@H]1O,NC(=O)c1ccc[n+](C2CC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
DB02499,Dinor-N(Omega)-Hydroxy-L-Arginine,,experimental,N[C@@H](C\N=C(/N)NO)C(O)=O,NC(=NCC(N)C(=O)O)NO
DB02500,6-(Dihydroxy-Isobutyl)-Thymine,,experimental,CC1=C(CC(CO)CO)NC(=O)NC1=O,Cc1c(CC(CO)CO)[nH]c(=O)[nH]c1=O
DB02501,N(2)-succinyl-L-arginine,,experimental,NC(=N)NCCC[C@H](NC(=O)CCC(O)=O)C(O)=O,N=C(N)NCCCC(NC(=O)CCC(=O)O)C(=O)O
DB02502,8-hydroxy-2'-deoxyguanosine,88847-89-6,experimental,NC1=NC2=C(N=C(O)N2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1,Nc1nc2c(nc(O)n2C2CC(O)C(CO)O2)c(=O)[nH]1
DB02503,4-(Carboxyvin-2-Yl)Phenylboronic Acid,,experimental,OB(O)C1=CC=C(\C=C\C(O)=O)C=C1,O=C(O)C=Cc1ccc(B(O)O)cc1
DB02504,[3-(1-Benzyl-3-Carbamoylmethyl-2-Methyl-1h-Indol-5-Yloxy)-Propyl-]-Phosphonic Acid,,experimental,CC1=C(CC(N)=O)C2=C(C=CC(OCCCP(O)(O)=O)=C2)N1CC1=CC=CC=C1,Cc1c(CC(N)=O)c2cc(OCCCP(=O)(O)O)ccc2n1Cc1ccccc1
DB02505,N-(R-Carboxy-Ethyl)-Alpha-(S)-(2-Phenylethyl),,experimental,CCCCCC1=CC=C(C=C1)C(=O)N(CC1=CC=C(C=C1)C1=CC=C(CC(=O)OC)C=C1)C1CCN(CC2=NC=CN2)CC1,CCCCCc1ccc(C(=O)N(Cc2ccc(-c3ccc(CC(=O)OC)cc3)cc2)C2CCN(Cc3ncc[nH]3)CC2)cc1
DB02506,"2,6,8-Trimethyl-3-Amino-9-Benzyl-9-Methoxynonanoic Acid",,experimental,[H][C@@](C)(CC[C@]([H])(N)[C@]([H])(C)C(O)=O)C[C@]([H])(C)[C@]([H])(CC1=CC=CC=C1)OC,COC(Cc1ccccc1)C(C)CC(C)CCC(N)C(C)C(=O)O
DB02508,Isopentyl Pyrophosphate,,experimental,CC(C)CCO[P@](O)(=O)OP(O)(O)=O,CC(C)CCOP(=O)(O)OP(=O)(O)O
DB02509,Farnesol,4602-84-0,experimental,CC(C)=CCC\C(C)=C/CC\C(C)=C/CO,CC(C)=CCCC(C)=CCCC(C)=CCO
DB02510,5'-O-(L-Prolylsulfamoyl)adenosine,,experimental,[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COS(=O)(=O)N([H])C(=O)[C@@H]4CCCN4[H])[C@@H](O)[C@H]3O)C2=NC=N1,Nc1ncnc2c1ncn2C1OC(COS(=O)(=O)NC(=O)C2CCCN2)C(O)C1O
DB02511,2-Hydroxy-5-({1-[(2-Naphthyloxy)Methyl]-3-Oxoprop-1-Enyl}Amino)Tyrosine,,experimental,[H][C@](N)(CC1=C(O)C=C(O)C(N\C(COC2=CC=C3C=CC=CC3=C2)=C\C=O)=C1)C(O)=O,NC(Cc1cc(NC(=CC=O)COc2ccc3ccccc3c2)c(O)cc1O)C(=O)O
DB02512,"1,6-Fructose Diphosphate (Linear Form)",,experimental,O[C@H](COP(O)(O)=O)[C@H](O)[C@H](O)C(=O)COP(O)(O)=O,O=C(COP(=O)(O)O)C(O)C(O)C(O)COP(=O)(O)O
DB02513,Thymol,89-83-8,approved,CC(C)C1=CC=C(C)C=C1O,Cc1ccc(C(C)C)c(O)c1
DB02514,(2Z)-3-{[Oxido(oxo)phosphoranyl]oxy}-2-phenylacrylate,2007-07-0,experimental,[O-]C(=O)C(=C/OP(=O)=O)\C1=CC=CC=C1,O=C([O-])C(=COP(=O)=O)c1ccccc1
DB02515,sn-glycerol 3-phosphate,17989-41-2,experimental,OC[C@@H](O)COP(O)(O)=O,O=P(O)(O)OCC(O)CO
DB02518,N-Acetylalanine,97-69-8,experimental,C[C@H](NC(C)=O)C(O)=O,CC(=O)NC(C)C(=O)O
DB02519,Indirubin-5-sulphonate,244021-67-8,experimental,[H]N1C(=O)\C(C2=C1C=CC(=C2)S(O)(=O)=O)=C1/N([H])C2=CC=CC=C2C1=O,O=C1Nc2ccc(S(=O)(=O)O)cc2C1=C1Nc2ccccc2C1=O
DB02520,Ditiocarb,147-84-2,experimental,CCN(CC)C(S)=S,CCN(CC)C(=S)S
DB02521,Flaviolin,479-05-0,experimental,OC1=CC2=C(C(O)=C1)C(=O)C=C(O)C2=O,O=C1C(O)=CC(=O)c2c(O)cc(O)cc21
DB02522,Phosphonopyruvate,,experimental,OC(=O)C(=O)CP(O)(O)=O,O=C(O)C(=O)CP(=O)(O)O
DB02523,"2-aminooxyethyl-[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl]-methyl-sulfonium",,experimental,[H][C@@]1(C[S+](C)CCON)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O,C[S+](CCON)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O
DB02524,"2',3'-O-{4-[Hydroxy(oxido)-λ5-azanylidene]-2,6-dinitro-2,5-cyclohexadiene-1,1-diyl}adenosine 5'-(tetrahydrogen triphosphate)",,experimental,[H]N([H])C1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@]4([H])OC5(O[C@@]34[H])C(=CC(C=C5[N+]([O-])=O)=[N+](O)[O-])[N+]([O-])=O)C2=NC=N1,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C2OC3(OC21)C([N+](=O)[O-])=CC(=[N+]([O-])O)C=C3[N+](=O)[O-]
DB02526,CRA_10655,,experimental,NC(=[NH2+])C1=CC=C2NC(=NC2=C1)C1=CC=CC(OC2CCCC2)=C1[O-],NC(=[NH2+])c1ccc2[nH]c(-c3cccc(OC4CCCC4)c3[O-])nc2c1
DB02527,Cyclic adenosine monophosphate,60-92-4,experimental,NC1=C2N=CN([C@@H]3O[C@@H]4COP(O)(=O)O[C@H]4[C@H]3O)C2=NC=N1,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O
DB02528,Tetrazolyl Histidine,,experimental,[H][C@](N)(CC1=CN(C=N1)C1=NNN=N1)C=O,NC(C=O)Cc1cn(-c2nn[nH]n2)cn1
DB02529,"(2R,4S,5R,6R)-5-Acetamido-4-amino-6-(diethylcarbamoyl)oxane-2-carboxylic acid",,experimental,CCN(CC)C(=O)[C@@H]1O[C@H](C[C@H](N)[C@H]1NC(C)=O)C(O)=O,CCN(CC)C(=O)C1OC(C(=O)O)CC(N)C1NC(C)=O
DB02530,gamma-Aminobutyric acid,56-12-2,approved; investigational,NCCCC(O)=O,NCCCC(=O)O
DB02531,Isobutyric acid,79-31-2,experimental,CC(C)C(O)=O,CC(C)C(=O)O
DB02532,"2,4,6-Triaminoquinazoline",,experimental,NC1=CC=C2N=C(N)N=C(N)C2=C1,Nc1ccc2nc(N)nc(N)c2c1
DB02534,2-Allylphenol,1745-81-9,experimental,OC1=CC=CC=C1CC=C,C=CCc1ccccc1O
DB02535,Aminodi(Ethyloxy)Ethylaminocarbonylbenzenesulfonamide,,experimental,NCCOCCOCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,NCCOCCOCCNC(=O)c1ccc(S(N)(=O)=O)cc1
DB02536,D-glyceraldehyde,453-17-8,experimental,OC[C@@H](O)C=O,O=CC(O)CO
DB02537,2-Hydroxy-5-({1-[(4-Methylphenoxy)Methyl]-3-Oxoprop-1-Enyl}Amino)-L-Tyrosine,,experimental,[H]\C(C=O)=C(\COC1=CC=C(C)C=C1)NC1=C(O)C=C(O)C(C[C@]([H])(N)C(O)=O)=C1,Cc1ccc(OCC(=CC=O)Nc2cc(CC(N)C(=O)O)c(O)cc2O)cc1
DB02538,"N-[4-(2-Methylimidazo[1,2-a]Pyridin-3-Yl)-2-Pyrimidinyl]Acetamide",,experimental,CC(=O)NC1=NC(=CC=N1)C1=C(C)N=C2C=CC=CN12,CC(=O)Nc1nccc(-c2c(C)nc3ccccn23)n1
DB02540,"10-formyl-5,8,10-trideazafolic acid",,experimental,[H]N([H])C1=NC(=O)C2=C(C=CC(C[C@H](C(O)=O)C3=CC=C(C=C3)C(=O)N([H])[C@@H](CCC(O)=O)C(O)=O)=C2)N1[H],Nc1nc(=O)c2cc(CC(C(=O)O)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2[nH]1
DB02541,4-Hydroxybutan-1-Aminium,,experimental,[NH3+]CCCCO,[NH3+]CCCCO
DB02542,(4s)-5-Fluoro-L-Leucine,,experimental,C[C@H](CF)C[C@H](N)C(O)=O,CC(CF)CC(N)C(=O)O
DB02543,Pyrrole-2-Carboxylate,,experimental,OC(=O)C1=CC=CN1,O=C(O)c1ccc[nH]1
DB02544,"N-(6-{[3-(4-Bromophenyl)-1,2-Benzisothiazol-6-Yl]Oxy}Hexyl)-N-Methylprop-2-En-1-Amine",,experimental,CN(CCCCCCOC1=CC=C2C(SN=C2C2=CC=C(Br)C=C2)=C1)CC=C,C=CCN(C)CCCCCCOc1ccc2c(-c3ccc(Br)cc3)nsc2c1
DB02545,Fexaramine,574013-66-4,experimental,COC(=O)\C=C\C1=CC(=CC=C1)N(CC1=CC=C(C=C1)C1=CC=C(C=C1)N(C)C)C(=O)C1CCCCC1,COC(=O)C=Cc1cccc(N(Cc2ccc(-c3ccc(N(C)C)cc3)cc2)C(=O)C2CCCCC2)c1
DB02546,Vorinostat,149647-78-9,approved; investigational,ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1,O=C(CCCCCCC(=O)Nc1ccccc1)NO
DB02547,Guanosine-5'-Diphosphate-Rhamnose,,experimental,C[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2NC(N)=NC3=O)[C@@H](O)[C@@H](O)[C@@H]1O,CC1OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3cnc4c(=O)nc(N)[nH]c43)C(O)C2O)C(O)C(O)C1O
